severity,affected_population,disaster_type,rainfall_mm,road_blockage_percent,medical_need_level,elderly_population,infrastructure_damage_level,rescue_team_availability,area_size_km2,hospital_distance_km,response_time_target_min,teams_required,ambulances_required,food_packets_required,medical_kits_required
5,4854,FLOOD,105.6,7.4,8,681,1,24,83.3,4.8,15,529,47,12185,156
10,4876,CYCLONE,115.3,58.0,1,682,10,42,19.2,30.6,30,1338,47,12290,151
1,3700,FLOOD,243.3,83.7,2,558,3,3,25.2,22.5,60,95,31,9260,113
9,4292,CYCLONE,47.6,37.3,5,547,6,44,60.0,39.7,45,1053,54,10820,139
2,2710,FLOOD,167.4,38.7,5,527,10,10,33.7,29.6,30,147,25,6795,97
6,2551,OTHER,209.5,39.2,10,489,2,20,56.1,32.5,45,262,32,6438,95
3,4322,FLOOD,193.8,42.3,6,231,5,12,95.1,17.7,60,298,39,10835,140
4,1865,EARTHQUAKE,46.5,29.6,2,282,9,48,88.4,2.8,45,216,18,4702,66
10,1083,CYCLONE,113.0,16.2,10,229,3,47,44.0,21.1,30,300,52,2808,54
8,2344,OTHER,235.1,23.4,4,262,8,13,37.1,47.4,60,330,24,5940,83
8,2318,LANDSLIDE,150.9,41.9,3,494,10,9,87.4,3.6,60,465,29,5875,82
6,4552,FLOOD,213.4,51.6,2,487,3,18,45.2,26.2,60,604,39,11440,137
2,1828,LANDSLIDE,265.4,93.0,7,110,9,24,24.0,49.7,45,119,25,4590,75
4,240,FIRE,279.2,83.9,6,49,3,3,29.0,41.7,30,30,14,640,22
8,3684,CYCLONE,1.6,7.9,5,343,3,36,94.1,30.8,60,796,46,9290,118
2,2370,EARTHQUAKE,90.3,4.8,7,421,10,30,6.7,42.0,60,149,26,5945,92
10,4401,FLOOD,189.6,57.5,3,476,1,40,35.6,29.0,30,961,43,11102,133
2,4298,FIRE,20.3,52.6,9,890,9,36,2.5,43.8,15,181,29,10765,150
7,3068,FIRE,224.2,35.7,2,364,2,50,58.4,38.1,30,401,26,7740,94
1,2896,CYCLONE,101.6,64.3,8,712,8,41,18.6,7.6,60,110,30,7250,107
1,2413,EARTHQUAKE,13.1,19.9,1,272,5,33,40.1,41.0,60,77,19,6042,76
5,309,OTHER,57.3,35.7,1,68,6,18,12.9,19.0,60,40,4,822,17
8,3177,FIRE,292.1,49.6,8,392,9,18,80.2,36.6,15,489,41,8022,116
7,4945,EARTHQUAKE,163.6,32.1,2,571,5,20,44.9,36.2,30,884,47,12432,150
8,2889,LANDSLIDE,12.7,87.0,6,499,7,18,64.1,39.8,15,567,37,7302,102
2,3337,FIRE,153.9,75.0,3,802,3,39,68.0,22.5,30,134,23,8362,104
2,1943,OTHER,109.9,38.3,10,109,3,44,45.3,19.2,60,73,17,4878,79
2,4711,EARTHQUAKE,158.8,39.8,5,470,2,2,73.7,25.5,60,246,44,11798,147
9,974,FIRE,232.5,70.4,4,242,5,45,91.7,25.1,15,177,20,2525,41
3,616,LANDSLIDE,51.8,71.3,2,130,6,43,35.1,4.2,45,67,8,1570,28
5,1300,OTHER,212.9,70.0,3,271,9,15,12.6,10.8,30,131,15,3300,52
4,4057,FLOOD,108.3,57.2,8,854,9,9,61.4,5.2,45,380,40,10182,141
7,3931,CYCLONE,123.2,40.9,10,254,6,42,7.9,23.8,45,757,63,9898,138
3,4526,OTHER,176.3,76.8,3,617,1,8,52.1,15.9,30,233,28,11345,136
6,1857,FIRE,284.2,51.9,5,407,5,13,63.7,28.0,30,219,25,4702,68
5,4380,FLOOD,150.8,16.9,10,354,10,47,90.2,17.5,15,502,49,11000,155
1,675,FLOOD,284.6,77.1,5,121,10,27,62.0,2.5,45,47,13,1698,39
5,3966,EARTHQUAKE,241.4,68.5,5,558,1,11,44.2,24.7,30,506,46,9965,124
6,4979,EARTHQUAKE,93.8,71.8,6,1220,3,49,37.4,28.5,45,763,54,12508,157
4,3831,FLOOD,80.2,24.8,2,230,7,40,42.1,48.2,30,352,30,9618,120
6,4742,OTHER,93.8,76.3,8,1181,8,32,88.0,25.4,15,495,38,11915,159
7,4150,LANDSLIDE,290.0,21.5,6,247,5,32,60.0,42.3,60,694,52,10445,136
5,4406,FLOOD,254.2,43.1,5,861,7,24,5.0,3.5,30,499,43,11065,143
6,4542,FIRE,22.1,50.4,9,481,10,44,61.3,7.3,15,525,40,11415,158
7,3067,FIRE,167.3,36.6,3,275,9,26,50.3,3.2,30,416,26,7738,103
6,3890,CYCLONE,137.1,60.6,9,303,10,21,16.7,49.5,45,661,57,9785,139
10,2765,CYCLONE,248.5,53.2,10,304,1,24,33.5,6.4,60,746,70,7012,100
10,2530,OTHER,261.6,62.9,10,366,10,37,23.1,3.5,60,446,43,6425,102
3,4304,OTHER,216.4,77.5,7,342,4,3,57.5,35.3,30,228,31,10790,141
1,3622,FIRE,125.6,41.3,4,478,10,31,87.3,37.1,15,91,24,9065,121
3,4259,EARTHQUAKE,168.3,99.8,8,660,6,12,46.2,27.1,45,347,46,10678,144
5,3976,EARTHQUAKE,287.2,27.9,5,377,5,50,29.3,11.2,60,515,48,9990,129
6,3940,FIRE,168.1,93.4,5,423,10,44,54.5,44.9,60,462,34,9910,133
6,1209,FIRE,12.6,95.5,2,144,8,42,26.0,24.5,30,158,10,3082,47
9,2231,CYCLONE,208.9,13.7,10,442,4,16,5.6,45.4,30,550,61,5668,88
4,440,FLOOD,124.0,71.7,2,81,3,1,96.5,48.9,30,52,9,1140,20
7,3906,LANDSLIDE,195.2,75.6,5,446,1,50,9.4,29.1,15,648,45,9835,123
3,3433,EARTHQUAKE,280.2,3.6,7,712,3,48,96.2,46.4,15,267,42,8612,115
1,2454,CYCLONE,180.8,92.8,6,262,9,34,49.6,47.0,60,104,28,6145,91
5,1589,FLOOD,99.2,73.1,5,307,1,48,34.0,15.5,30,181,21,4022,56
3,3331,LANDSLIDE,154.6,8.7,2,289,3,31,32.7,13.2,45,242,30,8358,102
7,1939,LANDSLIDE,226.1,95.4,5,322,10,1,26.5,18.6,30,354,32,4918,75
1,978,LANDSLIDE,92.0,40.5,9,229,5,45,12.2,45.9,45,41,13,2455,51
6,1819,EARTHQUAKE,287.2,47.8,8,362,10,24,41.9,27.9,60,308,40,4608,78
9,1799,EARTHQUAKE,204.1,59.6,2,279,9,46,36.5,45.9,15,438,26,4588,64
1,4496,CYCLONE,60.6,53.7,3,519,9,29,12.1,11.1,60,154,39,11250,143
2,4190,LANDSLIDE,242.6,45.3,9,557,10,4,56.1,34.0,45,228,42,10495,148
1,3253,FIRE,244.9,74.6,10,210,7,23,70.2,27.5,15,81,26,8142,120
2,3877,FLOOD,86.1,18.0,3,787,7,24,99.3,19.7,60,188,29,9712,124
7,667,OTHER,289.2,87.5,3,120,6,8,18.3,27.3,30,96,14,1738,31
4,38,FLOOD,293.5,46.3,9,5,7,15,25.1,18.0,45,26,20,135,26
4,934,FLOOD,242.8,41.9,1,91,2,7,59.6,22.9,15,90,14,2375,31
4,372,LANDSLIDE,131.7,54.0,1,29,5,15,81.7,36.8,45,54,8,970,18
10,4908,OTHER,245.5,23.7,3,1212,9,15,41.6,14.5,30,838,37,12370,155
7,4563,LANDSLIDE,14.1,34.4,7,945,6,45,41.9,8.3,60,765,49,11478,150
3,4416,LANDSLIDE,72.3,22.5,3,932,1,36,41.6,21.4,30,314,36,11070,133
7,1999,FIRE,61.0,64.7,8,438,2,35,72.6,10.3,45,266,28,5068,75
7,4965,CYCLONE,11.9,7.3,10,967,9,14,48.2,43.6,45,956,68,12482,171
5,135,EARTHQUAKE,281.1,96.2,2,26,8,16,69.7,35.5,60,50,13,388,16
4,4532,FIRE,232.7,38.1,9,814,5,17,36.3,44.3,60,346,40,11370,152
2,3856,FIRE,274.3,37.1,7,228,4,48,15.0,13.8,60,153,31,9660,128
5,1258,EARTHQUAKE,99.0,38.0,4,188,6,17,76.5,24.9,60,179,20,3195,50
8,1388,OTHER,238.5,16.9,9,204,9,42,95.7,26.7,15,204,30,3550,67
1,62,LANDSLIDE,41.2,63.1,2,11,1,14,50.8,19.3,60,10,2,165,7
8,138,FLOOD,159.7,41.1,1,21,5,35,97.8,1.8,60,40,8,425,11
3,886,FLOOD,157.3,24.1,10,137,6,18,79.6,4.9,60,75,20,2245,51
8,4638,EARTHQUAKE,297.1,22.6,2,838,1,6,40.8,19.5,60,933,50,11675,138
1,87,OTHER,51.4,50.0,7,15,6,37,97.7,48.7,15,17,3,228,22
4,1741,OTHER,266.3,47.6,1,408,5,35,56.6,2.6,45,129,15,4392,57
1,1707,CYCLONE,43.3,82.1,7,402,5,11,56.6,28.8,60,70,18,4278,68
9,2727,LANDSLIDE,226.7,14.0,2,409,6,4,10.2,12.4,15,591,32,6908,88
6,4967,CYCLONE,286.5,39.7,6,277,5,29,49.3,18.4,60,815,63,12478,159
7,1531,OTHER,175.8,38.0,10,166,4,46,7.8,14.1,60,189,29,3898,68
3,3201,FIRE,108.2,9.2,5,444,5,7,13.7,10.2,60,188,24,8032,106
9,4554,CYCLONE,122.4,2.6,6,732,10,39,78.6,43.3,15,1125,62,11475,152
5,3399,LANDSLIDE,233.8,72.5,9,785,4,37,52.3,34.6,30,415,46,8548,119
3,2212,FIRE,80.5,14.6,3,302,7,20,48.7,4.8,45,138,16,5560,76
4,4071,CYCLONE,185.0,45.8,3,451,7,22,84.2,19.6,45,462,43,10218,129
8,2752,LANDSLIDE,244.6,86.0,10,212,6,39,94.8,10.8,45,539,54,6960,105
3,3272,FIRE,87.4,69.5,8,796,4,21,37.9,41.0,60,194,27,8210,113
6,942,CYCLONE,59.9,99.7,3,175,9,2,95.3,23.6,30,190,17,2415,42
8,2396,OTHER,20.7,84.8,7,442,3,41,30.6,13.4,30,331,26,6070,85
7,3098,FLOOD,134.7,59.8,10,403,9,45,42.1,2.8,45,498,46,7815,118
9,4874,OTHER,274.3,10.9,4,884,6,11,64.9,3.2,60,744,39,12275,153
6,3536,FLOOD,3.2,25.9,9,704,9,38,68.9,11.8,45,485,41,8900,128
7,3803,OTHER,176.6,50.0,6,949,8,7,29.9,46.1,15,463,33,9578,129
2,1170,FIRE,93.6,45.5,4,180,6,31,10.2,36.4,60,59,11,2945,47
6,560,FIRE,13.4,71.1,1,123,2,44,80.1,46.6,30,71,5,1460,20
9,1439,CYCLONE,48.0,56.0,8,138,7,41,18.9,32.4,60,374,42,3688,64
7,249,OTHER,184.2,19.7,10,33,1,46,21.9,14.6,15,32,22,692,28
10,843,CYCLONE,56.1,32.6,8,61,8,34,96.6,16.4,60,254,41,2208,48
10,3225,CYCLONE,34.3,35.2,8,559,5,40,59.2,33.9,45,880,59,8162,113
2,1964,FIRE,35.1,37.3,3,298,7,39,14.2,19.8,30,90,13,4930,69
8,4412,OTHER,275.7,93.1,3,710,8,19,14.5,16.4,60,610,34,11110,140
10,449,FIRE,285.6,48.5,4,95,9,33,65.5,21.0,60,106,20,1222,30
7,3646,LANDSLIDE,50.2,56.5,4,395,5,15,54.0,9.2,60,615,37,9185,117
10,4067,CYCLONE,153.2,57.3,5,833,6,35,82.3,3.0,60,1110,57,10268,132
9,1800,LANDSLIDE,30.7,83.0,4,197,1,29,26.7,43.2,15,389,26,4590,60
8,971,EARTHQUAKE,63.0,73.8,6,215,10,41,43.1,31.2,30,232,27,2508,50
4,496,CYCLONE,105.2,28.1,9,41,5,19,57.5,47.7,15,72,22,1280,37
3,3381,FLOOD,297.7,86.7,3,643,3,16,15.1,16.8,30,235,33,8482,106
7,4019,EARTHQUAKE,173.2,26.9,7,502,2,41,79.6,38.7,60,712,54,10118,131
9,2289,OTHER,280.9,36.9,8,264,1,50,84.8,5.6,60,348,35,5812,82
6,528,CYCLONE,119.3,96.8,4,78,6,19,34.1,29.3,60,114,18,1380,29
6,406,FLOOD,29.9,78.4,8,21,3,29,45.9,49.6,60,67,19,1075,31
4,1090,OTHER,90.6,87.4,5,74,6,17,8.7,33.6,30,90,12,2765,47
1,3256,OTHER,91.7,69.9,4,442,2,46,10.0,11.5,15,63,19,8150,103
3,4873,EARTHQUAKE,155.8,44.5,1,921,2,28,69.6,24.4,30,376,42,12212,143
7,741,OTHER,241.8,10.3,6,167,3,25,77.5,37.9,30,93,19,1922,36
3,570,CYCLONE,169.0,61.0,3,78,4,41,75.0,46.1,60,65,14,1455,26
4,720,FLOOD,42.0,12.3,7,86,7,21,79.2,13.1,15,82,15,1840,42
4,4543,CYCLONE,180.0,60.8,1,997,5,14,52.0,26.0,60,507,44,11398,137
5,457,EARTHQUAKE,148.5,11.3,8,81,2,34,88.9,1.6,45,64,23,1192,31
6,1091,LANDSLIDE,258.2,56.8,6,173,3,49,47.4,49.4,15,166,27,2788,46
1,4821,FLOOD,4.1,21.6,1,1155,7,33,29.0,35.9,60,125,32,12062,147
7,3305,FLOOD,192.2,53.8,3,348,5,6,51.4,11.0,30,519,33,8332,105
9,2686,LANDSLIDE,175.9,76.3,2,300,7,47,95.4,12.7,30,591,30,6805,88
2,3569,FLOOD,136.0,60.9,5,653,3,8,1.8,7.7,15,168,30,8942,115
3,4076,FIRE,156.9,78.3,5,339,3,48,78.2,14.2,15,237,30,10220,129
1,2754,LANDSLIDE,81.6,6.4,10,483,8,30,51.3,3.7,30,87,25,6895,107
6,1298,FIRE,232.0,89.4,2,124,9,1,4.9,43.3,30,169,16,3305,50
1,3874,FIRE,114.9,15.0,1,622,7,15,32.5,21.4,45,88,24,9695,120
5,648,CYCLONE,111.8,50.2,1,55,9,3,95.4,4.4,60,121,11,1670,30
5,2555,FIRE,25.9,45.7,6,230,10,20,74.1,12.9,45,260,23,6438,95
10,4051,EARTHQUAKE,219.7,54.7,4,324,7,2,23.7,18.0,15,1039,52,10228,131
6,21,OTHER,112.9,73.8,5,1,9,16,42.3,48.1,30,25,10,112,20
5,772,FLOOD,276.4,89.7,9,102,6,30,97.5,5.2,15,107,27,1980,46
9,1103,OTHER,246.0,7.5,10,68,3,16,29.5,42.7,60,172,33,2848,55
6,2615,LANDSLIDE,81.6,7.5,4,201,10,7,16.0,9.1,60,395,29,6598,93
6,3340,FLOOD,160.8,96.5,4,468,8,17,85.3,5.4,45,463,34,8410,111
10,340,EARTHQUAKE,250.8,32.8,2,65,6,26,51.6,34.2,45,106,18,950,20
3,264,LANDSLIDE,256.4,55.6,9,26,8,7,80.5,7.8,15,46,18,690,34
1,1830,EARTHQUAKE,59.4,40.1,2,304,5,5,2.7,4.2,60,65,16,4585,61
3,763,FIRE,36.8,94.2,1,63,10,28,82.3,20.4,15,71,6,1938,34
7,3505,EARTHQUAKE,106.2,90.8,5,371,3,3,61.6,31.2,45,631,43,8832,113
8,3385,CYCLONE,143.7,8.8,7,262,4,42,88.5,26.8,15,736,54,8542,115
7,2951,LANDSLIDE,163.4,48.5,10,444,7,18,18.4,16.6,30,506,50,7448,111
1,2311,FLOOD,242.6,47.2,6,469,4,11,10.5,33.2,45,65,23,5788,82
9,468,EARTHQUAKE,172.7,98.3,7,56,3,12,24.0,16.6,45,124,32,1260,30
10,241,OTHER,210.2,94.8,10,18,4,32,54.4,9.6,15,54,30,702,31
2,470,EARTHQUAKE,180.5,2.0,8,23,10,13,80.7,17.7,30,54,15,1195,39
6,497,FLOOD,44.3,70.5,3,101,9,24,96.1,19.3,60,94,10,1302,29
10,837,FIRE,90.5,13.6,3,164,7,41,96.1,32.8,30,170,15,2192,37
9,2933,EARTHQUAKE,199.7,81.4,7,326,5,9,18.2,1.1,60,683,52,7422,103
10,275,EARTHQUAKE,180.7,92.1,10,25,10,7,93.7,7.9,15,108,45,788,38
4,2851,FIRE,50.4,88.5,2,611,6,29,1.6,11.3,15,229,19,7168,91
6,2112,FLOOD,216.1,4.8,8,415,3,27,49.6,19.6,60,283,35,5340,79
2,3937,CYCLONE,195.3,68.7,3,552,1,19,2.5,13.8,15,221,40,9862,119
2,2810,EARTHQUAKE,266.4,16.1,2,447,2,22,59.6,31.1,60,148,31,7045,86
1,3543,OTHER,49.5,89.0,3,215,6,14,97.5,21.1,45,77,19,8868,113
5,2446,EARTHQUAKE,28.8,39.3,9,533,3,4,36.4,22.0,45,319,36,6165,91
10,3944,EARTHQUAKE,29.1,20.7,5,967,8,8,31.2,20.5,60,1012,49,9960,131
5,756,OTHER,163.2,18.5,7,93,8,3,26.7,23.8,30,80,16,1940,44
5,4632,FLOOD,45.3,69.6,2,310,6,35,41.7,38.1,30,523,35,11630,142
9,509,LANDSLIDE,245.5,41.9,9,95,8,37,88.2,24.3,15,133,39,1362,41
7,294,CYCLONE,171.4,51.7,10,54,10,10,12.5,38.1,30,92,36,805,38
3,1745,EARTHQUAKE,37.9,42.3,7,157,3,39,26.2,45.6,15,144,22,4392,67
